player,score
Kareem Abdul-Jabbar,65335.625
Michael Jordan,58232.49999999999
LeBron James,56274.88636363636
Tim Duncan,45676.210526315794
Kobe Bryant,40798.5
Karl Malone,36810.99999999999
Larry Bird,36258.346153846156
Kevin Garnett,34709.97826086956
Hakeem Olajuwon,33854.944444444445
Magic Johnson,33594.84615384615
Moses Malone,32872.54347826087
Giannis Antetokounmpo,31657.791666666668
Shaquille O'Neal,28574.904761904763
Julius Erving,28234.270833333332
David Robinson,28041.82142857143
Jerry West,25942.535714285714
Nikola Jokić,25878.25
Chris Paul,25523.75
Stephen Curry,25277.0
Kevin Durant,25255.710526315794
Oscar Robertson,24498.214285714286
John Havlicek,23960.6875
Gary Payton,23874.473684210527
Dwight Howard,23759.083333333336
Dirk Nowitzki,22999.857142857145
Charles Barkley,21657.0625
Jason Kidd,21576.434782608696
Steve Nash,21510.47222222222
Dikembe Mutombo,20446.75
Scottie Pippen,20119.029411764703
Rudy Gobert,20076.791666666668
Ben Wallace,20031.11111111111
James Harden,19869.125
Allen Iverson,19504.25
Kawhi Leonard,19185.03846153846
Walt Frazier,18188.983516483513
Russell Westbrook,18032.078947368424
John Stockton,16654.526315789473
Sidney Moncrief,16351.090909090908
Anthony Davis,16212.666666666666
Dave Cowens,16198.670454545454
Willis Reed,15962.25
Rick Barry,15894.82142857143
Artis Gilmore,15761.023391812869
Joel Embiid,15750.277777777777
Patrick Ewing,15436.75
Dwyane Wade,15412.250000000002
George Gervin,15370.6875
Dennis Rodman,15282.249999999998
Bobby Jones,15239.552631578948
Elvin Hayes,15156.196022727274
Dennis Johnson,14322.857142857145
Bobby Jones,13936.552631578948
Alonzo Mourning,13724.411764705881
Paul George,13483.666666666666
Patrick Ewing,13460.75
Dave DeBusschere,13245.107142857143
Bob McAdoo,13083.394736842105
Draymond Green,13067.461538461537
Isiah Thomas,13003.23076923077
Wes Unseld,12192.173076923076
Alvin Robertson,11900.083333333334
Kevin McHale,11844.269230769232
Bill Walton,11583.25
Damian Lillard,11549.846153846154
Dominique Wilkins,11326.823529411766
Tracy McGrady,11291.823529411764
Jerry Lucas,11248.884615384615
Joe Dumars,11130.32142857143
Luka Dončić,11125.5
Derrick Rose,11014.052631578947
Clyde Drexler,10764.941176470587
Jimmy Butler,10706.444444444445
Michael Cooper,10640.083333333332
Mark Eaton,10634.09090909091
Grant Hill,10554.611111111111
Carmelo Anthony,10502.119047619046
Billy Cunningham,10323.598484848484
Nate Thurmond,9950.489583333334
Spencer Haywood,9920.121212121214
Dave Bing,9834.0
Norm Van Lier,9757.916666666668
Tiny Archibald,9740.576923076922
Amar'e Stoudemire,9735.9375
Paul Pierce,9648.92105263158
Vince Carter,9580.038461538461
Chris Webber,9300.578947368422
Maurice Cheeks,9298.764705882353
Don Buse,9241.096153846154
Ray Allen,9198.625
Buck Williams,9142.147058823528
Kyrie Irving,8987.21875
Robert Parish,8938.738095238095
Mel Daniels,8914.416666666668
George McGinnis,8895.12529137529
Alex English,8873.058823529413
Chris Bosh,8866.269230769229
Mitch Richmond,8860.285714285714
Pau Gasol,8780.068181818182
Blake Griffin,8632.235294117647
Metta World Peace,8621.285714285714
Joakim Noah,8557.192307692309
Dan Roundfield,8494.041666666666
Bruce Bowen,8488.166666666666
Jrue Holiday,8466.65625
Paul Westphal,8408.30303030303
Jerry Sloan,8327.727272727272
Adrian Dantley,8262.263157894737
LaMarcus Aldridge,8233.11111111111
Jayson Tatum,8222.8125
Marc Gasol,8179.999999999999
Pete Maravich,8093.847222222222
Tim Hardaway,7995.441176470587
Walter Davis,7956.64705882353
Rajon Rondo,7913.204545454546
Tony Parker,7873.583333333333
Marcus Camby,7827.666666666667
Jermaine O'Neal,7798.0
Yao Ming,7786.3125
Chris Mullin,7625.53125
Bernard King,7616.857142857143
Tyson Chandler,7541.071428571429
Lenny Wilkens,7503.666666666666
DeMar DeRozan,7501.875
Chauncey Billups,7485.956521739131
Maurice Lucas,7485.277777777777
Kevin Love,7443.552631578947
Connie Hawkins,7430.045454545455
Paul Silas,7353.352678571428
Shawn Kemp,7352.428571428571
Kevin Johnson,7264.821428571429
Bob Lanier,7153.129807692308
Mookie Blaylock,7072.846153846155
Jo Jo White,7071.75
Jack Sikma,7010.75
Marcus Smart,7008.863636363637
Joe Johnson,6997.291666666666
Marques Johnson,6996.0
Dan Issel,6956.923076923078
David Thompson,6879.5
Earl Monroe,6757.571428571429
DeAndre Jordan,6693.666666666667
Bam Adebayo,6640.0
Tony Allen,6629.642857142857
James Worthy,6604.958333333333
Anfernee Hardaway,6604.21875
Reggie Miller,6507.333333333333
Ben Simmons,6470.555555555556
Jaren Jackson Jr.,6455.0
Larry Nance,6420.666666666668
Gail Goodrich,6399.869047619048
Kyle Lowry,6392.239130434782
Chet Walker,6360.846153846154
Bob Love,6337.915178571428
Lou Hudson,6304.871794871795
Latrell Sprewell,6279.153846153846
Al Horford,6235.444444444444
Brian Taylor,6191.444444444445
Micheal Ray Richardson,6179.0
Bob Dandridge,6165.452991452991
Karl-Anthony Towns,6138.5
Louie Dampier,6096.696428571429
Joe Caldwell,6023.820512820513
Jamaal Wilkes,6022.375
Klay Thompson,6008.916666666666
